"","Author","patent_no","patentType","Seq","Lname","Fname","MI","authorfl","coauthor"
"691","yon,j.r.","0037641","wo",4,"yon","j","r.","yon,j","gordon,r, dijkmans,j, sprengel,j, xu,j, gosiewska,a, dhanaraj,s"
"692","xu,j.","0037641","wo",5,"xu","j","","xu,j","gordon,r, dijkmans,j, sprengel,j, yon,j, gosiewska,a, dhanaraj,s"
"693","gosiewska,a.","0037641","wo",6,"gosiewska","a","","gosiewska,a","gordon,r, dijkmans,j, sprengel,j, yon,j, xu,j, dhanaraj,s"
"694","dhanaraj,s.n.","0037641","wo",7,"dhanaraj","s","n.","dhanaraj,s","gordon,r, dijkmans,j, sprengel,j, yon,j, xu,j, gosiewska,a"
"695","lane,j.d.","0037646","wo",1,"lane","j","d.","lane,j","santangelo,j, dougan,g, everest,p, feldman,r, dobson,r, hughes,m, moore,j, wilson,r"
"696","santangelo,j.d.","0037646","wo",2,"santangelo","j","d.","santangelo,j","lane,j, dougan,g, everest,p, feldman,r, dobson,r, hughes,m, moore,j, wilson,r"
"697","dougan,g.","0037646","wo",3,"dougan","g","","dougan,g","lane,j, santangelo,j, everest,p, feldman,r, dobson,r, hughes,m, moore,j, wilson,r"
"698","everest,p.","0037646","wo",4,"everest","p","","everest,p","lane,j, santangelo,j, dougan,g, feldman,r, dobson,r, hughes,m, moore,j, wilson,r"
"699","feldman,r.","0037646","wo",5,"feldman","r","","feldman,r","lane,j, santangelo,j, dougan,g, everest,p, dobson,r, hughes,m, moore,j, wilson,r"
"700","dobson,r.j.","0037646","wo",6,"dobson","r","j.","dobson,r","lane,j, santangelo,j, dougan,g, everest,p, feldman,r, hughes,m, moore,j, wilson,r"
"701","hughes,m.j.","0037646","wo",7,"hughes","m","j.","hughes,m","lane,j, santangelo,j, dougan,g, everest,p, feldman,r, dobson,r, moore,j, wilson,r"
"702","moore,j.c.","0037646","wo",8,"moore","j","c.","moore,j","lane,j, santangelo,j, dougan,g, everest,p, feldman,r, dobson,r, hughes,m, wilson,r"
"703","wilson,r.k.","0037646","wo",9,"wilson","r","k.","wilson,r","lane,j, santangelo,j, dougan,g, everest,p, feldman,r, dobson,r, hughes,m, moore,j"
"704","vakharia,v.n.","0037649","wo",1,"vakharia","v","n.","vakharia,v","dube,s, fodor,i, horvath,e"
"705","dube,s.k.","0037649","wo",2,"dube","s","k.","dube,s","vakharia,v, fodor,i, horvath,e"
"706","fodor,i.","0037649","wo",3,"fodor","i","","fodor,i","vakharia,v, dube,s, horvath,e"
"707","horvath,e.o.","0037649","wo",4,"horvath","e","o.","horvath,e","vakharia,v, dube,s, fodor,i"
"708","yap,s.h.","0037650","wo",1,"yap","s","h.","yap,s","verslype,c, hellings,j, boender,p"
"709","verslype,c.j.","0037650","wo",2,"verslype","c","j.","verslype,c","yap,s, hellings,j, boender,p"
"710","hellings,j.a.","0037650","wo",3,"hellings","j","a.","hellings,j","yap,s, verslype,c, boender,p"
"711","boender,p.j.","0037650","wo",4,"boender","p","j.","boender,p","yap,s, verslype,c, hellings,j"
"712","pertijs,j.h.","0037661","wo",1,"pertijs","j","h.","pertijs,j","schepers,f, van dun cornelis,m"
"713","schepers,f.m.","0037661","wo",2,"schepers","f","m.","schepers,f","pertijs,j, van dun cornelis,m"
"714","van dun cornelis,m.p.","0037661","wo",3,"van dun cornelis","m","p.","van dun cornelis,m","pertijs,j, schepers,f"
"715","bovenberg,r.a.","0037671","wo",1,"bovenberg","r","a.","bovenberg,r","kerkman,r, koenhen,e"
"716","kerkman,r.","0037671","wo",2,"kerkman","r","","kerkman,r","bovenberg,r, koenhen,e"
"717","koenhen,e.","0037671","wo",3,"koenhen","e","","koenhen,e","bovenberg,r, kerkman,r"
