"","Author","patent_no","patentType","Seq","Lname","Fname","MI","authorfl","coauthor"
"208","israelsson,o.","(wo2007se00551)","sweden",1,"israelsson","o","","israelsson,o",""
"209","leadlay,p.f.","0000500","wo",1,"leadlay","p","f.","leadlay,p","cortes,j, staunton,j, mcarthur,h"
"210","cortes,j.","0000500","wo",2,"cortes","j","","cortes,j","leadlay,p, staunton,j, mcarthur,h"
"211","staunton,j.","0000500","wo",3,"staunton","j","","staunton,j","leadlay,p, cortes,j, mcarthur,h"
"212","mcarthur,h.a.","0000500","wo",4,"mcarthur","h","a.","mcarthur,h","leadlay,p, cortes,j, staunton,j"
"213","zaehringer,u.","0000593","wo",1,"zaehringer","u","","zaehringer,u","heinz,e, schmidt,h, sperling,p"
"214","heinz,e.","0000593","wo",2,"heinz","e","","heinz,e","zaehringer,u, schmidt,h, sperling,p"
"215","schmidt,h.","0000593","wo",3,"schmidt","h","","schmidt,h","zaehringer,u, heinz,e, sperling,p"
"216","sperling,p.","0000593","wo",4,"sperling","p","","sperling,p","zaehringer,u, heinz,e, schmidt,h"
"217","bargchi,m.","0000598","wo",1,"bargchi","m","","bargchi,m","twell,d"
"218","twell,d.","0000598","wo",2,"twell","d","","twell,d","bargchi,m"
"219","poustka,a.","0000603","wo",1,"poustka","a","","poustka,a","coy,j"
"220","coy,j.","0000603","wo",2,"coy","j","","coy,j","poustka,a"
"221","kraal,b.","0000613","wo",1,"kraal","b","","kraal,b","luiten,r, van wezel,g"
"222","luiten,r.g.","0000613","wo",2,"luiten","r","g.","luiten,r","kraal,b, van wezel,g"
"223","van wezel,g.p.","0000613","wo",3,"van wezel","g","p.","van wezel,g","kraal,b, luiten,r"
"224","leadlay,p.f.","0000618","wo",1,"leadlay","p","f.","leadlay,p","cortes,j, staunton,j, mcarthur,h"
"225","cortes,j.","0000618","wo",2,"cortes","j","","cortes,j","leadlay,p, staunton,j, mcarthur,h"
"226","staunton,j.","0000618","wo",3,"staunton","j","","staunton,j","leadlay,p, cortes,j, mcarthur,h"
"227","mcarthur,h.a.","0000618","wo",4,"mcarthur","h","a.","mcarthur,h","leadlay,p, cortes,j, staunton,j"
"228","chong,j.","0000626","wo",1,"chong","j","","chong,j","baltz,r, beffa,r, fritig,b, fraissinet-tachet,l, grosjean-cournoyer,m, saindrenan,p"
"229","baltz,r.","0000626","wo",2,"baltz","r","","baltz,r","chong,j, beffa,r, fritig,b, fraissinet-tachet,l, grosjean-cournoyer,m, saindrenan,p"
"230","beffa,r.","0000626","wo",3,"beffa","r","","beffa,r","chong,j, baltz,r, fritig,b, fraissinet-tachet,l, grosjean-cournoyer,m, saindrenan,p"
"231","fritig,b.","0000626","wo",4,"fritig","b","","fritig,b","chong,j, baltz,r, beffa,r, fraissinet-tachet,l, grosjean-cournoyer,m, saindrenan,p"
"232","fraissinet-tachet,l.","0000626","wo",5,"fraissinet-tachet","l","","fraissinet-tachet,l","chong,j, baltz,r, beffa,r, fritig,b, grosjean-cournoyer,m, saindrenan,p"
"233","grosjean-cournoyer,m.c.","0000626","wo",6,"grosjean-cournoyer","m","c.","grosjean-cournoyer,m","chong,j, baltz,r, beffa,r, fritig,b, fraissinet-tachet,l, saindrenan,p"
"234","saindrenan,p.","0000626","wo",7,"saindrenan","p","","saindrenan,p","chong,j, baltz,r, beffa,r, fritig,b, fraissinet-tachet,l, grosjean-cournoyer,m"
"235","kok,w.","0000638","wo",1,"kok","w","","kok,w","sillekens,p, van deursen,p"
"236","sillekens,p.t.","0000638","wo",2,"sillekens","p","t.","sillekens,p","kok,w, van deursen,p"
"237","van deursen,p.b.","0000638","wo",3,"van deursen","p","b.","van deursen,p","kok,w, sillekens,p"
"238","kehoe,p.g.","0000640","wo",1,"kehoe","p","g.","kehoe,p","owen,m, williams,j"
"239","owen,m.j.","0000640","wo",2,"owen","m","j.","owen,m","kehoe,p, williams,j"
"240","williams,j.","0000640","wo",3,"williams","j","","williams,j","kehoe,p, owen,m"
"241","ellis,j.a.","0001409","wo",1,"ellis","j","a.","ellis,j","audonnet,j, meehan,b, allan,g, krakowka,g"
"242","audonnet,j.c.","0001409","wo",2,"audonnet","j","c.","audonnet,j","ellis,j, meehan,b, allan,g, krakowka,g"
"243","meehan,b.m.","0001409","wo",3,"meehan","b","m.","meehan,b","ellis,j, audonnet,j, allan,g, krakowka,g"
"244","allan,g.m.","0001409","wo",4,"allan","g","m.","allan,g","ellis,j, audonnet,j, meehan,b, krakowka,g"
"245","krakowka,g.s.","0001409","wo",5,"krakowka","g","s.","krakowka,g","ellis,j, audonnet,j, meehan,b, allan,g"
"246","vivares,c.","0001724","wo",1,"vivares","c","","vivares,c","danchin,a, delbac,f"
"247","danchin,a.","0001724","wo",2,"danchin","a","","danchin,a","vivares,c, delbac,f"
"248","delbac,f.","0001724","wo",3,"delbac","f","","delbac,f","vivares,c, danchin,a"
"249","stratford,r.","0001804","wo",1,"stratford","r","","stratford,r","kemp,r"
"250","kemp,r.","0001804","wo",2,"kemp","r","","kemp,r","stratford,r"
"251","holtet,t.l.","0001822","wo",1,"holtet","t","l.","holtet,t","tempest,p, williams,a, jackson,h"
"252","tempest,p.r.","0001822","wo",2,"tempest","p","r.","tempest,p","holtet,t, williams,a, jackson,h"
"253","williams,a.j.","0001822","wo",3,"williams","a","j.","williams,a","holtet,t, tempest,p, jackson,h"
"254","jackson,h.","0001822","wo",4,"jackson","h","","jackson,h","holtet,t, tempest,p, williams,a"
"255","kellenberger,j.l.","0001827","wo",1,"kellenberger","j","l.","kellenberger,j","leadlay,p, staunton,j, mcarthur,h, stutzman-engwall,k"
"256","leadlay,p.f.","0001827","wo",2,"leadlay","p","f.","leadlay,p","kellenberger,j, staunton,j, mcarthur,h, stutzman-engwall,k"
"257","staunton,j.","0001827","wo",3,"staunton","j","","staunton,j","kellenberger,j, leadlay,p, mcarthur,h, stutzman-engwall,k"
"258","mcarthur,h.a.","0001827","wo",4,"mcarthur","h","a.","mcarthur,h","kellenberger,j, leadlay,p, staunton,j, stutzman-engwall,k"
"259","stutzman-engwall,k.j.","0001827","wo",5,"stutzman-engwall","k","j.","stutzman-engwall,k","kellenberger,j, leadlay,p, staunton,j, mcarthur,h"
"260","fenoll-comes,c.","0001832","wo",1,"fenoll-comes","c","","fenoll-comes,c","munoz-martin,m"
"261","munoz-martin,m.d.","0001832","wo",2,"munoz-martin","m","d.","munoz-martin,m","fenoll-comes,c"
"262","goller,s.","0001835","wo",1,"goller","s","","goller,s","klein,d, guenzburg,w, salmons,b"
"263","klein,d.","0001835","wo",2,"klein","d","","klein,d","goller,s, guenzburg,w, salmons,b"
"264","guenzburg,w.","0001835","wo",3,"guenzburg","w","","guenzburg,w","goller,s, klein,d, salmons,b"
"265","salmons,b.","0001835","wo",4,"salmons","b","","salmons,b","goller,s, klein,d, guenzburg,w"
"266","mortier,k.","0001846","wo",1,"mortier","k","","mortier,k","bogaert,t, plaetinck,g, platteeuw,c"
"267","bogaert,t.","0001846","wo",2,"bogaert","t","","bogaert,t","mortier,k, plaetinck,g, platteeuw,c"
"268","plaetinck,g.","0001846","wo",3,"plaetinck","g","","plaetinck,g","mortier,k, bogaert,t, platteeuw,c"
"269","platteeuw,c.","0001846","wo",4,"platteeuw","c","","platteeuw,c","mortier,k, bogaert,t, plaetinck,g"
"270","van de voorde,a.","0002053","wo",1,"van de voorde","a","","van de voorde,a","vanderstichele,h, vanmechelen,e"
"271","vanderstichele,h.","0002053","wo",2,"vanderstichele","h","","vanderstichele,h","van de voorde,a, vanmechelen,e"
"272","vanmechelen,e.","0002053","wo",3,"vanmechelen","e","","vanmechelen,e","van de voorde,a, vanderstichele,h"
"273","londei,m.","0002582","wo",1,"londei","m","","londei,m","quaratino,s, maiuri,l"
"274","quaratino,s.","0002582","wo",2,"quaratino","s","","quaratino,s","londei,m, maiuri,l"
"275","maiuri,l.","0002582","wo",3,"maiuri","l","","maiuri,l","londei,m, quaratino,s"
"276","ala,a.d.","0003003","wo",1,"ala","a","d.","ala,a","todd,i"
"277","todd,i.","0003003","wo",2,"todd","i","","todd,i","ala,a"
"278","barth,g.","0003008","wo",1,"barth","g","","barth,g","juretzek,t, mauersberger,s"
"279","juretzek,t.","0003008","wo",2,"juretzek","t","","juretzek,t","barth,g, mauersberger,s"
"280","mauersberger,s.","0003008","wo",3,"mauersberger","s","","mauersberger,s","barth,g, juretzek,t"
"281","steinborn,g.","0003009","wo",1,"steinborn","g","","steinborn,g","hofemeister,j"
"282","hofemeister,j.","0003009","wo",2,"hofemeister","j","","hofemeister,j","steinborn,g"
"283","leegwater,a.c.","0003013","wo",1,"leegwater","a","c.","leegwater,a","van der vliet,h, chamuleau,r, groenink,m"
"284","van der vliet,h.n.","0003013","wo",2,"van der vliet","h","n.","van der vliet,h","leegwater,a, chamuleau,r, groenink,m"
"285","chamuleau,r.a.","0003013","wo",3,"chamuleau","r","a.","chamuleau,r","leegwater,a, van der vliet,h, groenink,m"
"286","groenink,m.","0003013","wo",4,"groenink","m","","groenink,m","leegwater,a, van der vliet,h, chamuleau,r"
"287","reiter,c.","0003016","wo",1,"reiter","c","","reiter,c",""
"288","skinner,a.","0003019","wo",1,"skinner","a","","skinner,a","hay,a, thomas,d"
"289","hay,a.j.","0003019","wo",2,"hay","a","j.","hay,a","skinner,a, thomas,d"
"290","thomas,d.b.","0003019","wo",3,"thomas","d","b.","thomas,d","skinner,a, hay,a"
"291","nielsen,j.","0003020","wo",1,"nielsen","j","","nielsen,j","kielland-brandt,m, nissen,t"
"292","kielland-brandt,m.c.","0003020","wo",2,"kielland-brandt","m","c.","kielland-brandt,m","nielsen,j, nissen,t"
"293","nissen,t.l.","0003020","wo",3,"nissen","t","l.","nissen,t","nielsen,j, kielland-brandt,m"
"294","nielsen,j.","0003021","wo",1,"nielsen","j","","nielsen,j","kielland-brandt,m, nissen,t"
"295","kielland-brandt,m.c.","0003021","wo",2,"kielland-brandt","m","c.","kielland-brandt,m","nielsen,j, nissen,t"
"296","nissen,t.l.","0003021","wo",3,"nissen","t","l.","nissen,t","nielsen,j, kielland-brandt,m"
"297","jonard,g.","0003025","wo",1,"jonard","g","","jonard,g","guilley,h, lauber,e, richards,k"
"298","guilley,h.","0003025","wo",2,"guilley","h","","guilley,h","jonard,g, lauber,e, richards,k"
"299","lauber,e.","0003025","wo",3,"lauber","e","","lauber,e","jonard,g, guilley,h, richards,k"
"300","richards,k.","0003025","wo",4,"richards","k","","richards,k","jonard,g, guilley,h, lauber,e"
"301","havenga,m.","0003029","wo",1,"havenga","m","","havenga,m","vogels,r, bout,a"
"302","vogels,r.","0003029","wo",2,"vogels","r","","vogels,r","havenga,m, bout,a"
"303","bout,a.","0003029","wo",3,"bout","a","","bout,a","havenga,m, vogels,r"
"304","fechteler,k.","0003248","wo",1,"fechteler","k","","fechteler,k","haass,c, steiner,h"
"305","haass,c.","0003248","wo",2,"haass","c","","haass,c","fechteler,k, steiner,h"
"306","steiner,h.","0003248","wo",3,"steiner","h","","steiner,h","fechteler,k, haass,c"
"307","mcnaughton,h.j.","0003581","wo",1,"mcnaughton","h","j.","mcnaughton,h","thirkettle,j, barton,b, schofield,c"
"308","thirkettle,j.e.","0003581","wo",2,"thirkettle","j","e.","thirkettle,j","mcnaughton,h, barton,b, schofield,c"
"309","barton,b.","0003581","wo",3,"barton","b","","barton,b","mcnaughton,h, thirkettle,j, schofield,c"
"310","schofield,c.j.","0003581","wo",4,"schofield","c","j.","schofield,c","mcnaughton,h, thirkettle,j, barton,b"
"311","bright,j.r.","0004052","wo",1,"bright","j","r.","bright,j","steward,m, cox,v, smith,r"
"312","steward,m.","0004052","wo",2,"steward","m","","steward,m","bright,j, cox,v, smith,r"
"313","cox,v.f.","0004052","wo",3,"cox","v","f.","cox,v","bright,j, steward,m, smith,r"
"314","smith,r.a.","0004052","wo",4,"smith","r","a.","smith,r","bright,j, steward,m, cox,v"
"315","wrana,j.l.","0004143","wo",1,"wrana","j","l.","wrana,j","attisano,l"
"316","attisano,l.","0004143","wo",2,"attisano","l","","attisano,l","wrana,j"
"317","simandi,c.","0004144","wo",1,"simandi","c","","simandi,c","huber,j, huels,c, luehrmann,r"
"318","huber,j.","0004144","wo",2,"huber","j","","huber,j","simandi,c, huels,c, luehrmann,r"
"319","huels,c.","0004144","wo",3,"huels","c","","huels,c","simandi,c, huber,j, luehrmann,r"
"320","luehrmann,r.","0004144","wo",4,"luehrmann","r","","luehrmann,r","simandi,c, huber,j, huels,c"
"321","fogher,c.","0004146","wo",1,"fogher","c","","fogher,c",""
"322","neefs,j.m.","0004157","wo",1,"neefs","j","m.","neefs,j","peeters,d, pangalos,m"
"323","peeters,d.c.","0004157","wo",2,"peeters","d","c.","peeters,d","neefs,j, pangalos,m"
"324","pangalos,m.","0004157","wo",3,"pangalos","m","","pangalos,m","neefs,j, peeters,d"
"325","hagemann,m.","0004164","wo",1,"hagemann","m","","hagemann,m",""
"326","van de craen,m.","0004169","wo",1,"van de craen","m","","van de craen,m","declercq,w, fiers,w, vandenabeele,p"
"327","declercq,w.","0004169","wo",2,"declercq","w","","declercq,w","van de craen,m, fiers,w, vandenabeele,p"
"328","fiers,w.","0004169","wo",3,"fiers","w","","fiers,w","van de craen,m, declercq,w, vandenabeele,p"
"329","vandenabeele,p.","0004169","wo",4,"vandenabeele","p","","vandenabeele,p","van de craen,m, declercq,w, fiers,w"
"330","smit,j.","0004170","wo",1,"smit","j","","smit,j",""
"331","mengiste,t.","0004174","wo",1,"mengiste","t","","mengiste,t","paszkowski,j"
"332","paszkowski,j.","0004174","wo",2,"paszkowski","j","","paszkowski,j","mengiste,t"
"333","bovy,a.g.","0004175","wo",1,"bovy","a","g.","bovy,a","hughes,s, verhoeyen,m, de vos,c, muir,s, van tuenen,a"
"334","hughes,s.g.","0004175","wo",2,"hughes","s","g.","hughes,s","bovy,a, verhoeyen,m, de vos,c, muir,s, van tuenen,a"
"335","verhoeyen,m.e.","0004175","wo",3,"verhoeyen","m","e.","verhoeyen,m","bovy,a, hughes,s, de vos,c, muir,s, van tuenen,a"
"336","de vos,c.","0004175","wo",4,"de vos","c","","de vos,c","bovy,a, hughes,s, verhoeyen,m, muir,s, van tuenen,a"
"337","muir,s.r.","0004175","wo",5,"muir","s","r.","muir,s","bovy,a, hughes,s, verhoeyen,m, de vos,c, van tuenen,a"
"338","van tuenen,a.","0004175","wo",6,"van tuenen","a","","van tuenen,a","bovy,a, hughes,s, verhoeyen,m, de vos,c, muir,s"
"339","angenent,g.c.","0004176","wo",1,"angenent","g","c.","angenent,g","creemers,j, kater,m"
"340","creemers,j.","0004176","wo",2,"creemers","j","","creemers,j","angenent,g, kater,m"
"341","kater,m.m.","0004176","wo",3,"kater","m","m.","kater,m","angenent,g, creemers,j"
"342","mueller,r.","0004178","wo",1,"mueller","r","","mueller,r","nettelbeck,d, sedlacek,h"
"343","nettelbeck,d.","0004178","wo",2,"nettelbeck","d","","nettelbeck,d","mueller,r, sedlacek,h"
"344","sedlacek,h.h.","0004178","wo",3,"sedlacek","h","h.","sedlacek,h","mueller,r, nettelbeck,d"
"345","kerkmann-tucek,a.","0004918","wo",1,"kerkmann-tucek","a","","kerkmann-tucek,a",""
"346","schaffer,a.a.","0005390","wo",1,"schaffer","a","a.","schaffer,a","bar,m, levin,i, petreikov,m"
"347","bar,m.","0005390","wo",2,"bar","m","","bar,m","schaffer,a, levin,i, petreikov,m"
"348","levin,i.","0005390","wo",3,"levin","i","","levin,i","schaffer,a, bar,m, petreikov,m"
"349","petreikov,m.","0005390","wo",4,"petreikov","m","","petreikov,m","schaffer,a, bar,m, levin,i"
"350","kufer,p.","0006605","wo",1,"kufer","p","","kufer,p","zettl,f, dreier,t, baeuerle,p, borschert,k"
"351","zettl,f.","0006605","wo",2,"zettl","f","","zettl,f","kufer,p, dreier,t, baeuerle,p, borschert,k"
"352","dreier,t.","0006605","wo",3,"dreier","t","","dreier,t","kufer,p, zettl,f, baeuerle,p, borschert,k"
"353","baeuerle,p.a.","0006605","wo",4,"baeuerle","p","a.","baeuerle,p","kufer,p, zettl,f, dreier,t, borschert,k"
"354","borschert,k.","0006605","wo",5,"borschert","k","","borschert,k","kufer,p, zettl,f, dreier,t, baeuerle,p"
"355","poustka,a.","0008143","wo",1,"poustka","a","","poustka,a","lehrrach,h, radelof,u, seranski,p"
"356","lehrrach,h.","0008143","wo",2,"lehrrach","h","","lehrrach,h","poustka,a, radelof,u, seranski,p"
"357","radelof,u.","0008143","wo",3,"radelof","u","","radelof,u","poustka,a, lehrrach,h, seranski,p"
"358","seranski,p.","0008143","wo",4,"seranski","p","","seranski,p","poustka,a, lehrrach,h, radelof,u"
"359","dupret,d.","0009679","wo",1,"dupret","d","","dupret,d","masson,j, lefevre,f"
"360","masson,j.m.","0009679","wo",2,"masson","j","m.","masson,j","dupret,d, lefevre,f"
"361","lefevre,f.","0009679","wo",3,"lefevre","f","","lefevre,f","dupret,d, masson,j"
"362","koes,r.","0009720","wo",1,"koes","r","","koes,r","mol,j, de vetten,n"
"363","mol,j.","0009720","wo",2,"mol","j","","mol,j","koes,r, de vetten,n"
"364","de vetten,n.","0009720","wo",3,"de vetten","n","","de vetten,n","koes,r, mol,j"
"365","ivarie,r.","0011151","wo",1,"ivarie","r","","ivarie,r","harvey,a, murphy,g, rapp,j"
"366","harvey,a.j.","0011151","wo",2,"harvey","a","j.","harvey,a","ivarie,r, murphy,g, rapp,j"
"367","murphy,g.f.","0011151","wo",3,"murphy","g","f.","murphy,g","ivarie,r, harvey,a, rapp,j"
"368","rapp,j.c.","0011151","wo",4,"rapp","j","c.","rapp,j","ivarie,r, harvey,a, murphy,g"
"369","lemischka,i.","0011168","wo",1,"lemischka","i","","lemischka,i","moore,k"
"370","moore,k.","0011168","wo",2,"moore","k","","moore,k","lemischka,i"
"371","cupp,e.w.","0011172","wo",1,"cupp","e","w.","cupp,e","cupp,m"
"372","cupp,m.s.","0011172","wo",2,"cupp","m","s.","cupp,m","cupp,e"
"373","berzofsky,j.a.","0011186","wo",1,"berzofsky","j","a.","berzofsky,j","sarobe,p, pendleton,c, feinstone,s, arichi,t, major,m"
"374","sarobe,p.","0011186","wo",2,"sarobe","p","","sarobe,p","berzofsky,j, pendleton,c, feinstone,s, arichi,t, major,m"
"375","pendleton,c.d.","0011186","wo",3,"pendleton","c","d.","pendleton,c","berzofsky,j, sarobe,p, feinstone,s, arichi,t, major,m"
"376","feinstone,s.m.","0011186","wo",4,"feinstone","s","m.","feinstone,s","berzofsky,j, sarobe,p, pendleton,c, arichi,t, major,m"
"377","arichi,t.","0011186","wo",5,"arichi","t","","arichi,t","berzofsky,j, sarobe,p, pendleton,c, feinstone,s, major,m"
"378","major,m.e.","0011186","wo",6,"major","m","e.","major,m","berzofsky,j, sarobe,p, pendleton,c, feinstone,s, arichi,t"
"379","tiollais,p.","0011560","ep",1,"tiollais","p","","tiollais,p",""
"380","mahajan,p.b.","0012716","wo",1,"mahajan","p","b.","mahajan,p","shi,j"
"381","shi,j.","0012716","wo",2,"shi","j","","shi,j","mahajan,p"
"382","murray,k.","0013828","ep",1,"murray","k","","murray,k","schaller,h"
"383","schaller,h.e.","0013828","ep",2,"schaller","h","e.","schaller,h","murray,k"
"384","zur hausen,h.","0014112","wo",1,"zur hausen","h","","zur hausen,h","de villiers-zur hausen,e"
"385","de villiers-zur hausen,e.-m.","0014112","wo",2,"de villiers-zur hausen","e","-m.","de villiers-zur hausen,e","zur hausen,h"
"386","lipford,g.b.","0014217","wo",1,"lipford","g","b.","lipford,g","heeg,k, wagner,h"
"387","heeg,k.","0014217","wo",2,"heeg","k","","heeg,k","lipford,g, wagner,h"
"388","wagner,h.","0014217","wo",3,"wagner","h","","wagner,h","lipford,g, heeg,k"
"389","an,g.","0014234","wo",1,"an","g","","an,g","veltri,r"
"390","veltri,r.","0014234","wo",2,"veltri","r","","veltri,r","an,g"
"391","guzman,c.a.","0014240","wo",1,"guzman","c","a.","guzman,c","apfel,h, hensel,m, hueck,c, medina,e"
"392","apfel,h.","0014240","wo",2,"apfel","h","","apfel,h","guzman,c, hensel,m, hueck,c, medina,e"
"393","hensel,m.","0014240","wo",3,"hensel","m","","hensel,m","guzman,c, apfel,h, hueck,c, medina,e"
"394","hueck,c.","0014240","wo",4,"hueck","c","","hueck,c","guzman,c, apfel,h, hensel,m, medina,e"
"395","medina,e.","0014240","wo",5,"medina","e","","medina,e","guzman,c, apfel,h, hensel,m, hueck,c"
"396","siffert,w.","0015785","wo",1,"siffert","w","","siffert,w",""
"397","eisenhardt,g.","0015786","wo",1,"eisenhardt","g","","eisenhardt,g","kornau,h, kuner,r, hirschfeld,k"
"398","kornau,h.c.","0015786","wo",2,"kornau","h","c.","kornau,h","eisenhardt,g, kuner,r, hirschfeld,k"
"399","kuner,r.","0015786","wo",3,"kuner","r","","kuner,r","eisenhardt,g, kornau,h, hirschfeld,k"
"400","hirschfeld,k.","0015786","wo",4,"hirschfeld","k","","hirschfeld,k","eisenhardt,g, kornau,h, kuner,r"
"401","leonardo,e.","0015787","wo",1,"leonardo","e","","leonardo,e","martinez,p, alonso,c, domingo,d, grandien,a"
"402","martinez,p.","0015787","wo",2,"martinez","p","","martinez,p","leonardo,e, alonso,c, domingo,d, grandien,a"
"403","alonso,c.m.","0015787","wo",3,"alonso","c","m.","alonso,c","leonardo,e, martinez,p, domingo,d, grandien,a"
"404","domingo,d.g.","0015787","wo",4,"domingo","d","g.","domingo,d","leonardo,e, martinez,p, alonso,c, grandien,a"
"405","grandien,a.","0015787","wo",5,"grandien","a","","grandien,a","leonardo,e, martinez,p, alonso,c, domingo,d"
"406","moroz,c.","0015788","wo",1,"moroz","c","","moroz,c",""
"407","reinartz,j.","0017232","wo",1,"reinartz","j","","reinartz,j","bechtel,m, kramer,m, schaefer,b, wallich,r"
"408","bechtel,m.","0017232","wo",2,"bechtel","m","","bechtel,m","reinartz,j, kramer,m, schaefer,b, wallich,r"
"409","kramer,m.","0017232","wo",3,"kramer","m","","kramer,m","reinartz,j, bechtel,m, schaefer,b, wallich,r"
"410","schaefer,b.","0017232","wo",4,"schaefer","b","","schaefer,b","reinartz,j, bechtel,m, kramer,m, wallich,r"
"411","wallich,r.","0017232","wo",5,"wallich","r","","wallich,r","reinartz,j, bechtel,m, kramer,m, schaefer,b"
"412","binley,k.m.","0017371","wo",1,"binley","k","m.","binley,k","naylor,s"
"413","naylor,s.","0017371","wo",2,"naylor","s","","naylor,s","binley,k"
"414","van es,j.h.","0018913","wo",1,"van es","j","h.","van es,j","clevers,j, pelfer,m"
"415","clevers,j.c.","0018913","wo",2,"clevers","j","c.","clevers,j","van es,j, pelfer,m"
"416","pelfer,m.a.","0018913","wo",3,"pelfer","m","a.","pelfer,m","van es,j, clevers,j"
"417","bollen,a.","0018929","wo",1,"bollen","a","","bollen,a","houard,s"
"418","houard,s.","0018929","wo",2,"houard","s","","houard,s","bollen,a"
"419","derkx,p.m.","0018934","wo",1,"derkx","p","m.","derkx,p","madrid,s"
"420","madrid,s.m.","0018934","wo",2,"madrid","s","m.","madrid,s","derkx,p"
"421","macbeth,k.j.","0018961","wo",1,"macbeth","k","j.","macbeth,k","shyjan,a"
"422","shyjan,a.w.","0018961","wo",2,"shyjan","a","w.","shyjan,a","macbeth,k"
"423","rutter,w.j.","0020251","ep",1,"rutter","w","j.","rutter,w","goodman,h"
"424","goodman,h.m.","0020251","ep",2,"goodman","h","m.","goodman,h","rutter,w"
"425","bousson,j.c.","0020555","wo",1,"bousson","j","c.","bousson,j","parriche,m, punt,p, van zeijl,c, sinitsyn,a, burlingame,r, emalfarb,m, olson,p, pynnonen,c"
"426","parriche,m.","0020555","wo",2,"parriche","m","","parriche,m","bousson,j, punt,p, van zeijl,c, sinitsyn,a, burlingame,r, emalfarb,m, olson,p, pynnonen,c"
"427","punt,p.j.","0020555","wo",3,"punt","p","j.","punt,p","bousson,j, parriche,m, van zeijl,c, sinitsyn,a, burlingame,r, emalfarb,m, olson,p, pynnonen,c"
"428","van zeijl,c.m.j.","0020555","wo",4,"van zeijl","c","m.j.","van zeijl,c","bousson,j, parriche,m, punt,p, sinitsyn,a, burlingame,r, emalfarb,m, olson,p, pynnonen,c"
"429","sinitsyn,a.p.","0020555","wo",5,"sinitsyn","a","p.","sinitsyn,a","bousson,j, parriche,m, punt,p, van zeijl,c, burlingame,r, emalfarb,m, olson,p, pynnonen,c"
"430","burlingame,r.p.","0020555","wo",6,"burlingame","r","p.","burlingame,r","bousson,j, parriche,m, punt,p, van zeijl,c, sinitsyn,a, emalfarb,m, olson,p, pynnonen,c"
"431","emalfarb,m.a.","0020555","wo",7,"emalfarb","m","a.","emalfarb,m","bousson,j, parriche,m, punt,p, van zeijl,c, sinitsyn,a, burlingame,r, olson,p, pynnonen,c"
"432","olson,p.t.","0020555","wo",8,"olson","p","t.","olson,p","bousson,j, parriche,m, punt,p, van zeijl,c, sinitsyn,a, burlingame,r, emalfarb,m, pynnonen,c"
"433","pynnonen,c.m.","0020555","wo",9,"pynnonen","c","m.","pynnonen,c","bousson,j, parriche,m, punt,p, van zeijl,c, sinitsyn,a, burlingame,r, emalfarb,m, olson,p"
"434","skjoet,r.l.","0021983","wo",1,"skjoet","r","l.","skjoet,r","andersen,p, rosenkrands,i, weldingh,k, okkels,l, hansen,c, florio,w"
"435","andersen,p.","0021983","wo",2,"andersen","p","","andersen,p","skjoet,r, rosenkrands,i, weldingh,k, okkels,l, hansen,c, florio,w"
"436","rosenkrands,i.","0021983","wo",3,"rosenkrands","i","","rosenkrands,i","skjoet,r, andersen,p, weldingh,k, okkels,l, hansen,c, florio,w"
"437","weldingh,k.","0021983","wo",4,"weldingh","k","","weldingh,k","skjoet,r, andersen,p, rosenkrands,i, okkels,l, hansen,c, florio,w"
"438","okkels,l.m.","0021983","wo",5,"okkels","l","m.","okkels,l","skjoet,r, andersen,p, rosenkrands,i, weldingh,k, hansen,c, florio,w"
"439","hansen,c.v.","0021983","wo",6,"hansen","c","v.","hansen,c","skjoet,r, andersen,p, rosenkrands,i, weldingh,k, okkels,l, florio,w"
"440","florio,w.","0021983","wo",7,"florio","w","","florio,w","skjoet,r, andersen,p, rosenkrands,i, weldingh,k, okkels,l, hansen,c"
"441","cumbers,s.j.","0022111","wo",1,"cumbers","s","j.","cumbers,s","neuberger,m, sale,j"
"442","neuberger,m.s.","0022111","wo",2,"neuberger","m","s.","neuberger,m","cumbers,s, sale,j"
"443","sale,j.e.","0022111","wo",3,"sale","j","e.","sale,j","cumbers,s, neuberger,m"
"444","conseiller,e.","0022120","wo",1,"conseiller","e","","conseiller,e","debussche,l, gallagher,w"
"445","debussche,l.","0022120","wo",2,"debussche","l","","debussche,l","conseiller,e, gallagher,w"
"446","gallagher,w.","0022120","wo",3,"gallagher","w","","gallagher,w","conseiller,e, debussche,l"
"447","england,s.","0022121","wo",1,"england","s","","england,s","wood,j, garcia,r"
"448","wood,j.n.","0022121","wo",2,"wood","j","n.","wood,j","england,s, garcia,r"
"449","garcia,r.","0022121","wo",3,"garcia","r","","garcia,r","england,s, wood,j"
"450","amitai,h.","0022146","wo",1,"amitai","h","","amitai,h","chitlaru,e"
"451","chitlaru,e.","0022146","wo",2,"chitlaru","e","","chitlaru,e","amitai,h"
"452","scudder,k.m.","0023091","wo",1,"scudder","k","m.","scudder,k","thastrup,o, bjoern,s, terry,b, arkhammar,p"
"453","thastrup,o.","0023091","wo",2,"thastrup","o","","thastrup,o","scudder,k, bjoern,s, terry,b, arkhammar,p"
"454","bjoern,s.p.","0023091","wo",3,"bjoern","s","p.","bjoern,s","scudder,k, thastrup,o, terry,b, arkhammar,p"
